date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2026-01-22 18:30:00,US30,BUY,49537.6,104.5,313.5,209.0,LOSS,-11.09,5489.24,bull_trend|above_vwap
2026-01-22 19:30:00,US30,BUY,49359.02,107.2,321.5,214.3,LOSS,-10.98,5434.35,bull_trend|above_vwap
2026-01-23 15:30:00,US30,BUY,49137.5,102.4,307.2,204.8,WIN,32.61,5597.38,above_vwap
2026-01-23 16:30:00,US30,BUY,49171.82,92.9,278.8,185.9,WIN,33.58,5765.3,above_vwap
2026-01-23 18:30:00,US30,BUY,49097.21,87.2,261.6,174.4,WIN,34.59,5938.26,above_vwap
2026-01-26 15:30:00,US30,BUY,49268.59,72.7,218.1,145.4,WIN,35.63,6116.4,bull_trend|above_vwap
2026-01-26 16:30:00,US30,BUY,49296.71,72.3,216.9,144.6,LOSS,-12.23,6055.24,bull_trend|above_vwap
2026-01-26 17:30:00,US30,BUY,49438.66,73.6,220.8,147.2,LOSS,-12.11,5994.69,bull_trend|above_vwap|orb_bull
2026-01-26 18:30:00,US30,BUY,49424.52,73.8,221.3,147.6,LOSS,-11.99,5934.74,bull_trend|above_vwap|orb_bull
2026-01-26 19:30:00,US30,BUY,49447.0,70.0,210.0,140.0,LOSS,-11.87,5875.39,bull_trend|above_vwap|orb_bull
2026-01-27 17:30:00,US30,SELL,48929.46,81.0,243.0,162.0,LOSS,-11.75,5816.64,bear_trend|below_vwap|orb_bear
2026-01-27 18:30:00,US30,SELL,48984.34,78.0,233.9,155.9,WIN,34.9,5991.14,bear_trend|below_vwap|orb_bear
2026-01-27 19:30:00,US30,SELL,48968.9,77.0,230.9,153.9,LOSS,-11.98,5931.23,bear_trend|below_vwap|orb_bear
2026-01-28 17:30:00,US30,SELL,49023.27,70.5,211.6,141.1,WIN,35.59,6109.16,bear_trend|below_vwap|orb_bear
2026-01-28 18:30:00,US30,SELL,48917.14,71.3,213.9,142.6,WIN,36.65,6292.44,bear_trend|below_vwap|orb_bear
2026-01-28 19:30:00,US30,SELL,48978.41,76.8,230.3,153.5,LOSS,-12.58,6229.51,bear_trend|below_vwap|orb_bear
2026-01-29 15:30:00,US30,SELL,48840.56,79.8,239.3,159.6,LOSS,-12.46,6167.22,bear_trend|below_vwap|orb_bear
2026-01-29 16:30:00,US30,SELL,49007.24,79.1,237.2,158.1,WIN,37.0,6352.24,bear_trend|below_vwap|orb_bear
2026-01-29 17:30:00,US30,SELL,48916.23,84.1,252.4,168.3,LOSS,-12.7,6288.71,bear_trend|below_vwap|orb_bear
