date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2026-05-20 17:30:00,NAS100,BUY,29213.61,92.4,277.2,184.8,WIN,192.2,32994.79,bull_trend|above_vwap
2026-05-20 18:30:00,NAS100,BUY,29250.23,85.7,257.1,171.4,WIN,197.97,33984.63,bull_trend|above_vwap
2026-05-20 19:30:00,NAS100,BUY,29297.85,80.9,242.6,161.7,LOSS,-67.97,33644.79,bull_trend|above_vwap|orb_bull|bos_bull
2026-05-21 15:30:00,NAS100,BUY,29160.92,71.4,214.1,142.8,LOSS,-67.29,33308.34,bull_trend|above_vwap
2026-05-21 16:30:00,NAS100,BUY,29324.54,72.4,217.3,144.9,LOSS,-66.62,32975.26,bull_trend|above_vwap|orb_bull|bos_bull
2026-05-21 17:30:00,NAS100,BUY,29371.49,73.5,220.5,147.0,WIN,197.85,33964.51,bull_trend|above_vwap|orb_bull
2026-05-21 18:30:00,NAS100,BUY,29337.39,74.7,224.0,149.3,LOSS,-67.93,33624.87,bull_trend|above_vwap
2026-05-21 19:30:00,NAS100,BUY,29360.04,71.6,214.8,143.2,LOSS,-67.25,33288.62,bull_trend|above_vwap
2026-05-22 15:30:00,NAS100,BUY,29590.16,65.5,196.6,131.1,WIN,199.73,34287.28,bull_trend|above_vwap|orb_bull
2026-05-22 16:30:00,NAS100,BUY,29654.3,66.1,198.4,132.3,WIN,205.72,35315.9,bull_trend|above_vwap|orb_bull|bos_bull
